label,sentence,bias_score,assertive_verb_count,assertive_verb_prop,bias_count,bias_prop,coherence_marker_count,coherence_marker_prop,degree_modifier_count,degree_modifier_prop,factive_verb_count,factive_verb_prop,flesch-kincaid_grade_level,hedge_word_count,hedge_word_prop,implicative_verb_count,implicative_verb_prop,liwc_3rd_person_pronoum_count,liwc_3rd_person_pronoun_prop,liwc_achievement_word_count,liwc_achievement_word_prop,liwc_adverb_count,liwc_adverb_prop,liwc_auxiliary_verb_count,liwc_auxiliary_verb_prop,liwc_causation_word_count,liwc_causation_word_prop,liwc_certainty_word_count,liwc_certainty_word_prop,liwc_conjunction_count,liwc_conjunction_prop,liwc_discrepency_word_count,liwc_discrepency_word_prop,liwc_preposition_count,liwc_preposition_prop,liwc_tentative_word_count,liwc_tentative_word_prop,liwc_work_word_count,liwc_work_word_prop,modality,mood,opinion_count,opinion_prop,subjective_strong_count,subjective_strong_prop,subjective_weak_count,subjective_weak_prop,subjectivity_score,unique_word_count,vader_composite_sentiment,word_count
total,0.0,107351.734513,0.0,0.0,0.0,0.0,13061.0,1890.4384,773.0,120.5766,3672.0,330.9834,98476.6,4.0,0.2199,0.0,0.0,61803.0,6728.4735,25794.0,2638.4552,282293.0,38473.3457,292084.0,36476.4219,63428.0,12024.2899,10599.0,1576.0365,173445.0,16345.8784,78574.0,6686.3966,469544.0,52743.3589,78836.0,7091.7021,12448.0,725.6069,610302.0593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222177.2135,4551446.0,183110.245,5808790.0
average,0.0,0.144425825627,0.0,0.0,0.0,0.0,0.017570272532,0.00254312474283,0.00104002016758,0.000162220168221,0.00493817388669,0.00044508770857,0.131879875976,5.3758047637e-06,2.95480313937e-07,0.0,0.0,0.0831412892867,0.00905164669218,0.0347026082115,0.00354991883823,0.379761716917,0.0517577979734,0.392933060261,0.0490713539509,0.0853320078095,0.0161778461268,0.0142569251305,0.00212002545559,0.233331883482,0.0219897914764,0.105707522534,0.00899532506866,0.631709816559,0.0709576552538,0.106061010673,0.00954045524387,0.0167518057718,0.000976384229509,0.821028786661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298891651834,6.12308728768,0.246334388012,7.81452642144
min,0.0,-3.62711941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9995,1.0
max,0.0,15.5075138,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.25,1.0,0.2,4147.8,1.0,0.0833,0.0,0.0,14.0,1.0,42.0,1.0,96.0,1.0,16.0,1.0,21.0,1.0,9.0,1.0,96.0,1.0,7.0,1.0,24.0,0.6667,16.0,1.0,35.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.9998,196.0
std,0.0,0.549420322769,0.0,0.0,0.0,0.0,0.13917734296,0.0237069352751,0.0318520960751,0.00502255141734,0.0699162398843,0.00676392387506,31.9143720698,0.000535425675093,2.94323095552e-05,0.0,0.0,0.404096480125,0.0438850556225,0.221765633954,0.0230384610531,0.655500728595,0.0956427466077,0.675780495734,0.0919430664681,0.338170292059,0.0893014894698,0.132684179284,0.0268988663931,0.597792335998,0.0576143927315,0.363036636762,0.0345755254234,0.980023675655,0.101033673023,0.358131024128,0.0392931046255,0.260252542836,0.0134448967934,0.301671629637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356865351685,4.52613741514,0.35242585274,9.66299729102
