label,sentence,bias_score,assertive_verb_count,assertive_verb_prop,bias_count,bias_prop,coherence_marker_count,coherence_marker_prop,degree_modifier_count,degree_modifier_prop,factive_verb_count,factive_verb_prop,flesch-kincaid_grade_level,hedge_word_count,hedge_word_prop,implicative_verb_count,implicative_verb_prop,liwc_3rd_person_pronoum_count,liwc_3rd_person_pronoun_prop,liwc_achievement_word_count,liwc_achievement_word_prop,liwc_adverb_count,liwc_adverb_prop,liwc_auxiliary_verb_count,liwc_auxiliary_verb_prop,liwc_causation_word_count,liwc_causation_word_prop,liwc_certainty_word_count,liwc_certainty_word_prop,liwc_conjunction_count,liwc_conjunction_prop,liwc_discrepency_word_count,liwc_discrepency_word_prop,liwc_preposition_count,liwc_preposition_prop,liwc_tentative_word_count,liwc_tentative_word_prop,liwc_work_word_count,liwc_work_word_prop,modality,mood,opinion_count,opinion_prop,subjective_strong_count,subjective_strong_prop,subjective_weak_count,subjective_weak_prop,subjectivity_score,unique_word_count,vader_composite_sentiment,word_count
total,0.0,161284.345126,38.0,2.4613,0.0,0.0,31202.0,2383.0312,2347.0,179.9415,1200.0,85.6571,1274149.8,442.0,30.0663,0.0,0.0,159120.0,11918.2752,56016.0,4387.0448,470293.0,39786.0033,580865.0,47156.9829,106618.0,9920.9165,71372.0,5674.0313,364516.0,26596.7858,137616.0,10101.4305,735012.0,54155.8914,168865.0,12550.4137,21840.0,1661.5474,524930.0727,0.0,111.0,7.9009,0.0,0.0,0.0,0.0,271974.7212,8369086.0,150018.0611,8942084.0
average,0.0,0.216134196957,5.10025707498e-05,3.30276026492e-06,0.0,0.0,0.0418087294049,0.00319305536871,0.00314584395468,0.000241129821456,0.00160791082073,0.000114741404138,1.70750094165,0.000592162955885,4.02771470909e-05,0.0,0.0,0.213232723928,0.0159716322626,0.0750646162105,0.00587897212447,0.630230369684,0.0533149613681,0.778404247998,0.0631941731529,0.142880190091,0.0132955807939,0.0956376577721,0.00760350699373,0.488485863015,0.0356420892125,0.184417381883,0.0135365615086,0.984976404307,0.0725728602175,0.226283275887,0.0168177743227,0.0292697474918,0.00222669727755,0.703463171308,0.0,0.000148554528761,1.05737962334e-05,0.0,0.0,0.0,0.0,0.364474202075,11.2152868056,0.201034265322,11.983154131
min,0.0,-8.3596871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9984,1.0
max,0.0,10.2121247,1.0,0.1429,0.0,0.0,3.0,0.5,1.0,0.3333,1.0,0.5,515.8,1.0,0.5,0.0,0.0,8.0,1.0,19.0,1.0,24.0,1.0,8.0,1.0,5.0,1.0,5.0,1.0,24.0,1.0,6.0,1.0,10.0,1.0,6.0,1.0,6.0,1.0,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,30.0,0.9982,84.0
std,0.0,0.567917305025,0.00461340872954,0.000305288884165,0.0,0.0,0.207153948558,0.0186237843552,0.0557392505443,0.00488226645157,0.0397313279641,0.00317810961438,4.03078575661,0.0235694069528,0.00175062128822,0.0,0.0,0.565252414071,0.0449214632216,0.280221492201,0.0265173113254,0.843581977526,0.08143420434,0.934447414637,0.0804100987765,0.380649760107,0.0476260189507,0.316963582078,0.0316888188757,0.753817835904,0.0603192670639,0.45503321211,0.0372815553242,1.12675088908,0.0808490845758,0.506102796483,0.0435019504653,0.176009907046,0.0159207489892,0.378875929293,0.0,0.0105450894743,0.000784692393821,0.0,0.0,0.0,0.0,0.33912809481,5.96924937758,0.413569661469,6.68616881588
