label,sentence,bias_score,assertive_verb_count,assertive_verb_prop,bias_count,bias_prop,coherence_marker_count,coherence_marker_prop,degree_modifier_count,degree_modifier_prop,factive_verb_count,factive_verb_prop,flesch-kincaid_grade_level,hedge_word_count,hedge_word_prop,implicative_verb_count,implicative_verb_prop,liwc_3rd_person_pronoum_count,liwc_3rd_person_pronoun_prop,liwc_achievement_word_count,liwc_achievement_word_prop,liwc_adverb_count,liwc_adverb_prop,liwc_auxiliary_verb_count,liwc_auxiliary_verb_prop,liwc_causation_word_count,liwc_causation_word_prop,liwc_certainty_word_count,liwc_certainty_word_prop,liwc_conjunction_count,liwc_conjunction_prop,liwc_discrepency_word_count,liwc_discrepency_word_prop,liwc_preposition_count,liwc_preposition_prop,liwc_tentative_word_count,liwc_tentative_word_prop,liwc_work_word_count,liwc_work_word_prop,modality,mood,opinion_count,opinion_prop,subjective_strong_count,subjective_strong_prop,subjective_weak_count,subjective_weak_prop,subjectivity_score,unique_word_count,vader_composite_sentiment,word_count
total,0.0,66881.8684286,0.0,0.0,0.0,0.0,8908.0,1686.9104,38.0,2.6244,6.0,0.6516,-1557101.3,0.0,0.0,0.0,0.0,47853.0,5707.2192,12067.0,1162.5818,240644.0,32989.6417,265223.0,24136.4981,25707.0,3971.0075,19687.0,1345.3699,191946.0,15037.8067,108321.0,7295.0935,423837.0,52007.9782,89934.0,6446.3549,1649.0,99.7984,580427.5114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281084.4592,4317067.0,163763.5488,5395912.0
average,0.0,0.0897368146338,0.0,0.0,0.0,0.0,0.0119507056169,0.0022631289522,5.09140203041e-05,3.51630126774e-06,8.03939673364e-06,8.73132895145e-07,-2.08898426211,0.0,0.0,0.0,0.0,0.0641999277374,0.00765689375561,0.016190462003,0.00155982090827,0.322833546293,0.0442563509174,0.355832706488,0.0323811388442,0.0344870381075,0.00532658095072,0.0264082206158,0.0018046127208,0.257520752084,0.0201738475952,0.145333385384,0.00978734765829,0.568615616868,0.069772048078,0.12066281935,0.00864840656875,0.0022140753173,0.000133971630403,0.778696738005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377099000693,5.79168716821,0.21970340671,7.23907953104
min,0.0,-3.62711941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9993,1.0
max,0.0,8.3134267,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.1,1.0,0.2,37.9,0.0,0.0,0.0,0.0,10.0,1.0,3.0,0.3333,23.0,1.0,10.0,1.0,6.0,1.0,22.0,1.0,9.0,1.0,6.0,0.5,12.0,0.5,8.0,1.0,5.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.999,139.0
std,0.0,0.481547757437,0.0,0.0,0.0,0.0,0.109102712966,0.0222954332885,0.00453072902752,0.000315145750522,0.000801927074381,8.70919952255e-05,3.22695085366,0.0,0.0,0.0,0.0,0.342819835135,0.0426533143415,0.136343479906,0.0141490447855,0.572339738253,0.08429876608,0.794260124221,0.0697669127314,0.203413705496,0.0409913331383,0.189177399935,0.0137008369324,0.657977715395,0.0525157294177,0.512640330691,0.0362808764942,0.8516787681,0.105336500547,0.429997975595,0.0367839894354,0.0512102232662,0.00325650569053,0.340079730496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364789102952,3.97614127688,0.382914724482,6.60256482386
