label,sentence,bias_score,assertive_verb_count,assertive_verb_prop,bias_count,bias_prop,coherence_marker_count,coherence_marker_prop,degree_modifier_count,degree_modifier_prop,factive_verb_count,factive_verb_prop,flesch-kincaid_grade_level,hedge_word_count,hedge_word_prop,implicative_verb_count,implicative_verb_prop,liwc_3rd_person_pronoum_count,liwc_3rd_person_pronoun_prop,liwc_achievement_word_count,liwc_achievement_word_prop,liwc_adverb_count,liwc_adverb_prop,liwc_auxiliary_verb_count,liwc_auxiliary_verb_prop,liwc_causation_word_count,liwc_causation_word_prop,liwc_certainty_word_count,liwc_certainty_word_prop,liwc_conjunction_count,liwc_conjunction_prop,liwc_discrepency_word_count,liwc_discrepency_word_prop,liwc_preposition_count,liwc_preposition_prop,liwc_tentative_word_count,liwc_tentative_word_prop,liwc_work_word_count,liwc_work_word_prop,modality,mood,opinion_count,opinion_prop,subjective_strong_count,subjective_strong_prop,subjective_weak_count,subjective_weak_prop,subjectivity_score,unique_word_count,vader_composite_sentiment,word_count
total,0.0,147583.521985,45.0,2.4504,0.0,0.0,41262.0,2984.8936,2395.0,168.7631,896.0,62.5543,1050202.5,538.0,33.8737,0.0,0.0,155770.0,11120.7797,65676.0,4852.9858,497977.0,39778.1034,647686.0,49966.6103,112222.0,9791.1276,83116.0,6255.4538,417956.0,28721.1247,141535.0,9871.2754,805375.0,56001.1681,174995.0,12332.2394,21638.0,1547.6268,508553.7048,0.0,100.0,6.6551,0.0,0.0,0.0,0.0,285807.6031,8829506.0,153836.8561,9496312.0
average,0.0,0.197990059382,6.02962744308e-05,3.28309500666e-06,0.0,0.0,0.0553532492015,0.00400426435477,0.00321267987032,0.000226367872539,0.00120221024002,8.39870468893e-05,1.4088136052,0.000722221526624,4.545475234e-05,0.0,0.0,0.208978666392,0.0149188816823,0.0881057956546,0.00651061937384,0.668069262105,0.0533650084177,0.868876761603,0.0670317628657,0.150537912076,0.0131340746961,0.111509373991,0.00839206799483,0.560689985608,0.0385294905611,0.18986897693,0.0132426890224,1.08043694237,0.0751270064808,0.234753208192,0.0165436177613,0.0290293714362,0.00207618839651,0.682240686216,0.0,0.000133989128801,8.91653987524e-06,0.0,0.0,0.0,0.0,0.383413044155,11.8449033995,0.206372677233,12.7394512889
min,0.0,-8.61790435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9802,1.0
max,0.0,15.5075138,1.0,0.1,0.0,0.0,4.0,0.5,2.0,0.5,1.0,0.5,91.0,1.0,0.5,0.0,0.0,8.0,1.0,4.0,1.0,25.0,1.0,9.0,1.0,5.0,1.0,6.0,1.0,25.0,1.0,6.0,1.0,10.0,1.0,6.0,1.0,5.0,1.0,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,37.0,0.9971,222.0
std,0.0,0.556755538729,0.00521855962691,0.000287481060843,0.0,0.0,0.239647674687,0.0207514890682,0.0565153890387,0.0046268304039,0.0342989331105,0.00276304605434,3.53137574665,0.0264649064167,0.00185482733306,0.0,0.0,0.568662991941,0.0437509555615,0.303858615706,0.0274933947657,0.879534780634,0.0810568714604,1.00755233467,0.082201554051,0.392265940752,0.0466149630543,0.342538090758,0.0331205127905,0.819104382218,0.0616787537035,0.467607204874,0.0367994331842,1.21111427613,0.0811541067567,0.518569031789,0.0432413036621,0.174539784925,0.0155012534149,0.384319371838,0.0,0.00971252982443,0.000680338369268,0.0,0.0,0.0,0.0,0.333494217019,6.74049802956,0.432263430525,7.66499358906
